sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
1J0130307R,,Default,simple,Genuine Parts/VAG-VW-Audi-Seat,base,1 set of f,1 set of f,1 set of f,0.139,1,Taxable Goods,"Catalog, Search",80.0145654,,,,,,,,3/18/2024 11:07,3/18/2024 11:07,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,1J0130307R,1J0130307R,1J0130307R,,,,,,,,
3B0973703G,,Default,simple,Genuine Parts/VAG-VW-Audi-Seat,base,Flat conta,Flat conta,Flat conta,0.08,1,Taxable Goods,"Catalog, Search",6.3032046,,,,,,,,3/18/2024 11:07,3/18/2024 11:07,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,3B0973703G,3B0973703G,3B0973703G,,,,,,,,
5G3864629,,Default,simple,Genuine Parts/VAG-VW-Audi-Seat,base,DEADENER,DEADENER,DEADENER,0.251,1,Taxable Goods,"Catalog, Search",40.82027565,,,,,,,,3/18/2024 11:07,3/18/2024 11:07,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,5G3864629,5G3864629,5G3864629,,,,,,,,
7LA121096Q,,Default,simple,Genuine Parts/VAG-VW-Audi-Seat,base,HOSE,HOSE,HOSE,0.112,1,Taxable Goods,"Catalog, Search",9.24924,,,,,,,,3/18/2024 11:07,3/18/2024 11:07,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,7LA121096Q,7LA121096Q,7LA121096Q,,,,,,,,
8P0885375E,,Default,simple,Genuine Parts/VAG-VW-Audi-Seat,base,PADDING,PADDING,PADDING,2.51,1,Taxable Goods,"Catalog, Search",245.5840926,,,,,,,,3/18/2024 11:07,3/18/2024 11:07,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,8P0885375E,8P0885375E,8P0885375E,,,,,,,,
8V4971687H,,Default,simple,Genuine Parts/VAG-VW-Audi-Seat,base,HARNESS,HARNESS,HARNESS,0.344,1,Taxable Goods,"Catalog, Search",99.2052138,,,,,,,,3/18/2024 11:07,3/18/2024 11:07,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,8V4971687H,8V4971687H,8V4971687H,,,,,,,,
