sku,store_view_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,errors
1J0130307R,Default,simple,Default,base,"1 set of f",,,0.139,1,"Taxable Goods","Catalog, Search",80.0145654,,,,,,,,"2024-03-18 11:07:06","2024-03-18 11:07:06",,,"Block after Info Column",,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,1J0130307R,1J0130307R,1J0130307R,,,,,,,,,"Invalid value in Store column (store doesn't exist?),Invalid value for Attribute Set column (set doesn't exist?)"
3B0973703G,Default,simple,Default,base,"Flat conta",,,0.08,1,"Taxable Goods","Catalog, Search",6.3032046,,,,,,,,"2024-03-18 11:07:06","2024-03-18 11:07:06",,,"Block after Info Column",,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,3B0973703G,3B0973703G,3B0973703G,,,,,,,,,"Invalid value in Store column (store doesn't exist?),Invalid value for Attribute Set column (set doesn't exist?)"
5G3864629,Default,simple,Default,base,DEADENER,,,0.251,1,"Taxable Goods","Catalog, Search",40.82027565,,,,,,,,"2024-03-18 11:07:06","2024-03-18 11:07:06",,,"Block after Info Column",,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,5G3864629,5G3864629,5G3864629,,,,,,,,,"Invalid value in Store column (store doesn't exist?),Invalid value for Attribute Set column (set doesn't exist?)"
7LA121096Q,Default,simple,Default,base,HOSE,,,0.112,1,"Taxable Goods","Catalog, Search",9.24924,,,,,,,,"2024-03-18 11:07:06","2024-03-18 11:07:06",,,"Block after Info Column",,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,7LA121096Q,7LA121096Q,7LA121096Q,,,,,,,,,"Invalid value in Store column (store doesn't exist?),Invalid value for Attribute Set column (set doesn't exist?)"
8P0885375E,Default,simple,Default,base,PADDING,,,2.51,1,"Taxable Goods","Catalog, Search",245.5840926,,,,,,,,"2024-03-18 11:07:06","2024-03-18 11:07:06",,,"Block after Info Column",,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,8P0885375E,8P0885375E,8P0885375E,,,,,,,,,"Invalid value in Store column (store doesn't exist?),Invalid value for Attribute Set column (set doesn't exist?)"
8V4971687H,Default,simple,Default,base,HARNESS,,,0.344,1,"Taxable Goods","Catalog, Search",99.2052138,,,,,,,,"2024-03-18 11:07:06","2024-03-18 11:07:06",,,"Block after Info Column",,,,,,,,,,,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,8V4971687H,8V4971687H,8V4971687H,,,,,,,,,"Invalid value in Store column (store doesn't exist?),Invalid value for Attribute Set column (set doesn't exist?)"
