sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
1H0853984,default,Default,simple,Main/DEALS/Sales & Promos/VAG,base,"1H0853984, testing testing testing","<p>This is description, testing<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p><ul><li>100% soft and durable cotton.<li>Plastic cinch buckle is easy to use.<li>Three natural colors made from phthalate and heavy metal-free dyes.</ul>","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines.</p>",1.1492,1,Taxable Goods,"Catalog, Search",57.125,,,,1H0853986-this-is-title-testing,"This is title, testing","sprite yoga, best sprite yoga strap, yoga strap","The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines.",,,,,,,4/12/2024 11:49,4/12/2024 11:49,,,Block after Info Column,,,,,,,,,,,Use config,Germany,"has_options=1,quantity_and_stock_status=In Stock,required_options=0,supplier=VAG,manufacturer=VAG",1000,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,0,0,1,"24-WG087,51128043897","25-WG087,123456","26-WG087,1H0853986B41",,,,,,,,
4E0825235Q,default,Default,simple,Main/DEALS/Sales & Promos/VAG,base,RARE Genuine Audi A8 D3 03-07 V8 Engine Noise Insulation Belly Pan,<p>RARE Genuine Audi A8 D3 03-07 V8 Engine Noise Insulation Belly Pan</p>,<p>RARE Genuine Audi A8 D3 03-07 V8 Engine Noise Insulation Belly Pan</p>,5.902,1,Taxable Goods,"Catalog, Search",243.75,,,,4E0825235Q-Belly-Pan,RARE Genuine Audi A8 D3 03-07 V8 Engine Noise Insulation Belly Pan,RARE Genuine Audi A8 D3 03-07 V8 Engine Noise Insulation Belly Pan,RARE Genuine Audi A8 D3 03-07 V8 Engine Noise Insulation Belly Pan,,,,,,,4/12/2024 11:49,4/12/2024 11:49,,,Block after Info Column,,,,,,,,,,,Use config,Germany,"has_options=1,quantity_and_stock_status=In Stock,required_options=0,supplier=TR,manufacturer=VAG,reference_number=4E0 825 235 Q",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,
8P0805588A,default,Default,simple,Main/DEALS/Sales & Promos/VAG,base,RARE Genuine Audi A3 8P 03-08 Front Lock Radiator Carrier Mounting,<p>RARE Genuine Audi A3 8P 03-08 Front Lock Radiator Carrier Mounting</p>,<p>RARE Genuine Audi A3 8P 03-08 Front Lock Radiator Carrier Mounting</p>,11.297,1,Taxable Goods,"Catalog, Search",383.6625,,,,8P0805588A-Carrier-Mounting,RARE Genuine Audi A3 8P 03-08 Front Lock Radiator Carrier Mounting,RARE Genuine Audi A3 8P 03-08 Front Lock Radiator Carrier Mounting,RARE Genuine Audi A3 8P 03-08 Front Lock Radiator Carrier Mounting,,,,,,,4/12/2024 11:49,4/12/2024 11:49,,,Block after Info Column,,,,,,,,,,,Use config,Germany,"has_options=1,quantity_and_stock_status=In Stock,required_options=0,supplier=VAG,manufacturer=VAG,reference_number=8P0 805 588 A",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,
7E1825671G,default,Default,simple,Main/DEALS/Sales & Promos/VAG,base,VW T6 16-19 Transporter Front Center Tunnel Heat Shield Short,<p>VW T6 16-19 Transporter Front Center Tunnel Heat Shield Short</p>,<p>VW T6 16-19 Transporter Front Center Tunnel Heat Shield Short</p>,5.2884,1,Taxable Goods,"Catalog, Search",86.475,,,,7E1825671G-Heat-Shield,VW T6 16-19 Transporter Front Center Tunnel Heat Shield Short,VW T6 16-19 Transporter Front Center Tunnel Heat Shield Short,VW T6 16-19 Transporter Front Center Tunnel Heat Shield Short,,,,,,,4/12/2024 11:49,4/12/2024 11:49,,,Block after Info Column,,,,,,,,,,,Use config,Germany,"has_options=1,quantity_and_stock_status=In Stock,required_options=0,supplier=VAG,manufacturer=VAG,reference_number=7E1 825 671 G",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,
51128043897,default,Default,simple,Main/DEALS/Sales & Promos/BMW,base,diffuser,<p>diffuser</p>,<p>diffuser</p>,2.093,1,Taxable Goods,"Catalog, Search",91.8125,,,,51128043897-diffuser,diffuser,diffuser,diffuser,,,,,,,4/12/2024 11:49,4/12/2024 11:49,,,Block after Info Column,,,,,,,,,,,Use config,Germany,"has_options=1,quantity_and_stock_status=In Stock,required_options=0,supplier=BMW,manufacturer=VAG,reference_number=51 12 8043897",100,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,
